FID_,ADM1_EN,ADM1_PCODE,ADM1_REF,ADM0_EN,ADM0_PCODE,area_sqkm
0,Baringo,KE030, ,Kenya,KE,10911.8389
1,Bomet,KE036, ,Kenya,KE,2446.546597
2,Bungoma,KE039, ,Kenya,KE,3031.419192
3,Busia,KE040, ,Kenya,KE,1823.018323
4,Elgeyo-Marakwet,KE028, ,Kenya,KE,3017.072881
5,Embu,KE014, ,Kenya,KE,2823.105461
6,Garissa,KE007, ,Kenya,KE,43585.58592
7,Homa Bay,KE043, ,Kenya,KE,4759.623536
8,Isiolo,KE011, ,Kenya,KE,25382.67381
9,Kajiado,KE034, ,Kenya,KE,21898.33742
10,Kakamega,KE037, ,Kenya,KE,3022.407819
11,Kericho,KE035, ,Kenya,KE,2521.720824
12,Kiambu,KE022, ,Kenya,KE,2544.660915
13,Kilifi,KE003, ,Kenya,KE,12591.25262
14,Kirinyaga,KE020, ,Kenya,KE,1475.382418
15,Kisii,KE045, ,Kenya,KE,1319.901135
16,Kisumu,KE042, ,Kenya,KE,2677.16486
17,Kitui,KE015, ,Kenya,KE,30436.58211
18,Kwale,KE002, ,Kenya,KE,8259.631568
19,Laikipia,KE031, ,Kenya,KE,9544.057231
20,Lamu,KE005, ,Kenya,KE,6048.07267
21,Machakos,KE016, ,Kenya,KE,6044.19296
22,Makueni,KE017, ,Kenya,KE,8172.227058
23,Mandera,KE009, ,Kenya,KE,25984.09251
24,Marsabit,KE010, ,Kenya,KE,76029.89885
25,Meru,KE012, ,Kenya,KE,6990.399208
26,Migori,KE044, ,Kenya,KE,3162.625863
27,Mombasa,KE001, ,Kenya,KE,233.4520019
28,Murang'a,KE021,Muranga,Kenya,KE,2526.495793
29,Nairobi,KE047, ,Kenya,KE,707.9649232
30,Nakuru,KE032, ,Kenya,KE,15841.52134
31,Nandi,KE029, ,Kenya,KE,2846.725947
32,Narok,KE033, ,Kenya,KE,9622.661811
33,Nyamira,KE046, ,Kenya,KE,900.9291501
34,Nyandarua,KE018, ,Kenya,KE,3270.481222
35,Nyeri,KE019, ,Kenya,KE,3336.211642
36,Samburu,KE025, ,Kenya,KE,21022.85236
37,Siaya,KE041, ,Kenya,KE,3542.106334
38,Taita Taveta,KE006, ,Kenya,KE,17119.87688
39,Tana River,KE004, ,Kenya,KE,39164.95564
40,Tharaka-Nithi,KE013, ,Kenya,KE,2579.965668
41,Trans Nzoia,KE026, ,Kenya,KE,2495.224493
42,Turkana,KE023, ,Kenya,KE,70355.50427
43,Uasin Gishu,KE027, ,Kenya,KE,3408.262689
44,Vihiga,KE038, ,Kenya,KE,563.1773824
45,Wajir,KE008, ,Kenya,KE,56646.28761
46,West Pokot,KE024, ,Kenya,KE,9338.517003
